date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:26:31	45130/45130	U-----	200	untouched ('OK')	text/html	etag:W/%22b04a-BRALcDiI/VNf+gt61qAtPlLwQ/Y%22	https://www.gathering.org/tg21/	www.gathering.org/tg21/index.html	(from )
16:26:32	15470/15470	U-----	200	untouched ('OK')	text/html	etag:W/%223c6e-FUsru1IJkwhRgnG/yJ8LvAMAZHE%22	https://www.gathering.org/robots.txt		(from )
16:26:32	30039/30039	U--M--	200	updated ('OK')	text/html	etag:W/%227557-Isj4ukTRSbY4LcXzsgY6mD1SD68%22	https://www.gathering.org/tg21/page/partner	www.gathering.org/tg21/page/partner.html	(from https://www.gathering.org/tg21/)
16:26:37	23333/23333	U-----	200	untouched ('OK')	text/html	etag:W/%225b25-VBy8JKCCHzLlHLbfCMPWJxPnJfY%22	https://www.gathering.org/tg21/page/kontakt	www.gathering.org/tg21/page/kontakt.html	(from https://www.gathering.org/tg21/)
16:26:37	26773/26773	U-----	200	untouched ('OK')	text/html	etag:W/%226895-eLwj2Cg00KTAxvfrhk9gNwGWPPc%22	https://www.gathering.org/tg21/article/7043/spillkonkurranser-pa-tgonline-21	www.gathering.org/tg21/article/7043/spillkonkurranser-pa-tgonline-21.html	(from https://www.gathering.org/tg21/)
16:26:37	25818/25818	U-----	200	untouched ('OK')	text/html	etag:W/%2264da-ikLO4JLQEYw12equmET8cH6kAe8%22	https://www.gathering.org/tg21/page/vil-du-vaere-med-a-arrangere-the-gathering	www.gathering.org/tg21/page/vil-du-vaere-med-a-arrangere-the-gathering.html	(from https://www.gathering.org/tg21/)
16:26:38	15421/15421	U-----	200	untouched ('OK')	text/html	etag:W/%223c3d-d2dKsKc4cLVTJOhh5Jv8CLslG/A%22	https://www.gathering.org/tg21/search	www.gathering.org/tg21/search.html	(from https://www.gathering.org/tg21/)
16:26:43	26227/26227	U-----	200	untouched ('OK')	text/html	etag:W/%226673-UgpNuCUwb0JE6N90crbdn7fg51g%22	https://www.gathering.org/tg21/article/7189/cosplay-pa-tgonline	www.gathering.org/tg21/article/7189/cosplay-pa-tgonline.html	(from https://www.gathering.org/tg21/)
16:26:43	30207/30207	U-----	200	untouched ('OK')	text/html	etag:W/%2275ff-2uJQ19INaBwqNllcptSaXGaJOa4%22	https://www.gathering.org/tg21/article/7454/mot-cosplaydommerne-2	www.gathering.org/tg21/article/7454/mot-cosplaydommerne-2.html	(from https://www.gathering.org/tg21/)
16:26:45	20160/20160	U-----	200	untouched ('OK')	text/html	etag:W/%224ec0-bajG0RWXE2i9VnVHDl6KJO8C2uo%22	https://www.gathering.org/tg21/article/7418/minecraft-pa-tg21online	www.gathering.org/tg21/article/7418/minecraft-pa-tg21online.html	(from https://www.gathering.org/tg21/)
16:26:45	23973/23973	U-----	200	untouched ('OK')	text/html	etag:W/%225da5-RGRG9QaAunh2o9Pmfx720EBg474%22	https://www.gathering.org/tg21/article/7132/arets-wallpapers	www.gathering.org/tg21/article/7132/arets-wallpapers.html	(from https://www.gathering.org/tg21/)
